confirmed, block.height, block.time, tx.type, tx.sender, tx.receiver,tx.amount, tx.start_time, tx.originator
1,  77, 4577342.00, PREPARE_HTLC,      0,  30078, 2005054, 4559966.91,      0
1,  78, 4683424.00, CLAIM_HTLC  ,      0,  30078, 2005054, 4577954.33,  30078
1, 123, 7834055.00, PREPARE_HTLC,  30079,  30078, 2019564, 7680206.28,  30079
1, 124, 7894805.00, CLAIM_HTLC  ,  30079,  30078, 2019564, 7834651.58,  30078
1, 141, 8460239.00, PREPARE_HTLC,  30083,      0, 2062269, 8434113.25,  30083
1, 142, 8476725.00, CLAIM_HTLC  ,  30083,      0, 2062269, 8460850.13,      0
1, 148, 8754427.00, PREPARE_HTLC,  30080,      0, 2003833, 8720371.95,  30080
1, 149, 8839377.00, CLAIM_HTLC  ,  30080,      0, 2003833, 8754996.29,      0
1, 152, 9014505.00, PREPARE_HTLC,   4272,      0, 2006418, 8874683.03,   4272
1, 153, 9030594.00, CLAIM_HTLC  ,   4272,      0, 2006418, 9015092.48,      0
1, 155, 9247760.00, PREPARE_HTLC,      0,  30078, 2047502, 9232345.65,      0
1, 156, 9310179.00, CLAIM_HTLC  ,      0,  30078, 2047502, 9248310.64,  30078
1, 172, 9984774.00, PREPARE_HTLC,  30082,  30079, 2007263, 9947294.06,  30082
1, 173, 10119770.00, CLAIM_HTLC  ,  30082,  30079, 2007263, 9985389.60,  30079
1, 231, 13580690.00, PREPARE_HTLC,  30079,  30078, 2040585, 13472549.69,  30079
1, 232, 13583400.00, CLAIM_HTLC  ,  30079,  30078, 2040585, 13581294.49,  30078
1, 234, 13641813.00, PREPARE_HTLC,      0,  30078, 2061483, 13602657.45,      0
1, 235, 13836415.00, CLAIM_HTLC  ,      0,  30078, 2061483, 13642408.48,  30078
1, 261, 15160918.00, PREPARE_HTLC,  30082,  30079, 2007629, 15102700.52,  30082
1, 262, 15208355.00, CLAIM_HTLC  ,  30082,  30079, 2007629, 15161492.31,  30079
1, 291, 17185287.00, PREPARE_HTLC,  30083,      0, 2039995, 17172511.12,  30083
1, 292, 17210953.00, CLAIM_HTLC  ,  30083,      0, 2039995, 17185861.72,      0
1, 301, 17997350.00, PREPARE_HTLC,   4273,   4271, 2010000, 17931269.48,   4273
1, 302, 18061218.00, CLAIM_HTLC  ,   4273,   4271, 2010000, 17997941.68,   4271
1, 302, 18061218.00, PREPARE_HTLC,      0,  30078, 2023351, 18041163.06,      0
1, 303, 18072941.00, CLAIM_HTLC  ,      0,  30078, 2023351, 18061854.20,  30078
1, 357, 20785828.00, PREPARE_HTLC,  30087,      0, 2034840, 20736097.82,  30087
1, 358, 20799198.00, CLAIM_HTLC  ,  30087,      0, 2034840, 20786421.96,      0
1, 363, 20965879.00, PREPARE_HTLC,      0,  30078, 2011228, 20923173.21,      0
1, 364, 21090141.00, CLAIM_HTLC  ,      0,  30078, 2011228, 20966453.58,  30078
1, 378, 22149203.00, PREPARE_HTLC,   4272,      0, 2032840, 22027611.76,   4272
1, 379, 22164231.00, CLAIM_HTLC  ,   4272,      0, 2032840, 22149820.49,      0
1, 384, 22669246.00, PREPARE_HTLC,  30088,   4271, 2005066, 22602103.22,  30088
1, 384, 22669246.00, PREPARE_HTLC,  30082,  30079, 2018029, 22642388.80,  30082
