confirmed, block.height, block.time, tx.type, tx.sender, tx.receiver,tx.amount, tx.start_time, tx.originator
1,  15,  983074.00, PREPARE_HTLC,  30080,  30081, 766349,  956249.26,  30080
1,  16, 1083490.00, CLAIM_HTLC  ,  30080,  30081, 766349,  983655.23,  30081
1,  29, 1574057.00, PREPARE_HTLC,  30080,  30081, 740302, 1489619.99,  30080
1,  29, 1574057.00, PREPARE_HTLC,  30085,  30080, 744685, 1511778.96,  30085
1,  29, 1574057.00, PREPARE_HTLC,  30087,  30080, 744167, 1555296.43,  30087
1,  30, 1598591.00, CLAIM_HTLC  ,  30085,  30080, 744685, 1574650.68,  30080
1,  30, 1598591.00, CLAIM_HTLC  ,  30080,  30081, 740302, 1574662.25,  30081
1,  30, 1598591.00, CLAIM_HTLC  ,  30087,  30080, 744167, 1574648.41,  30080
1,  34, 1715395.00, PREPARE_HTLC,   4273,   4274, 360840, 1690700.97,   4273
1,  35, 1773827.00, CLAIM_HTLC  ,   4273,   4274, 360840, 1716017.95,   4274
1,  40, 2163467.00, PREPARE_HTLC,  30086,  30080, 732544, 2141623.42,  30086
1,  41, 2208928.00, CLAIM_HTLC  ,  30086,  30080, 732544, 2164087.84,  30080
1,  55, 2781428.00, PREPARE_HTLC,  30080,  30081, 722070, 2686946.64,  30080
1,  56, 2857930.00, CLAIM_HTLC  ,  30080,  30081, 722070, 2782032.00,  30081
1,  58, 3077692.00, PREPARE_HTLC,  30083,  30081, 374243, 2897496.14,  30083
1,  59, 3232350.00, CLAIM_HTLC  ,  30083,  30081, 374243, 3078270.95,  30081
1,  67, 3767745.00, PREPARE_HTLC,      0,      1, 749325, 3744666.37,      0
1,  68, 3781615.00, CLAIM_HTLC  ,      0,      1, 749325, 3768340.18,      1
1,  69, 3849785.00, PREPARE_HTLC,      0,      2, 721571, 3794124.41,      0
1,  70, 3855459.00, CLAIM_HTLC  ,      0,      2, 721571, 3850361.02,      2
1,  74, 3957165.00, PREPARE_HTLC,  30080,  30081, 723454, 3934068.98,  30080
1,  75, 3962215.00, CLAIM_HTLC  ,  30080,  30081, 723454, 3957755.48,  30081
1,  78, 4284837.00, PREPARE_HTLC,  30084,  30080, 747453, 4216403.32,  30084
1,  79, 4293698.00, CLAIM_HTLC  ,  30084,  30080, 747453, 4285435.79,  30080
1,  86, 4888447.00, PREPARE_HTLC,  30086,  30080, 740791, 4729806.89,  30086
1,  87, 4945840.00, CLAIM_HTLC  ,  30086,  30080, 740791, 4889044.90,  30080
